product_name,price,rating,sell,location,shop_name,kategori
Laptop ASUS VIVOBOOK 15 X1502ZA i5 1235U 16gb 512gb W11 15.6FHD IPS,Rp7.999.000,5.0,100+ terjual,Jakarta Utara,Top Tech,laptop
ADVAN Notebook Laptop Workpro Intel I5 14'' FHD IPS 8GB 256GB Win 11,Rp5.399.000,4.9,500+ terjual,Kab. Tangerang,Advan Official Store,laptop
ADVAN Laptop Workplus AMD RYZEN 5 6600H 14'' FHD IPS 16GB 512GB Win 11,Rp7.299.000,4.9,1rb+ terjual,Kab. Tangerang,Advan Official IT Store,laptop
"Macbook Pro M1 Pro Max 2021 1TB 512GB SSD 16"" & 14"" Inch RAM 32GB 16GB",Rp25.575.000,4.9,1rb+ terjual,Jakarta Pusat,Studio Ponsel,laptop
Asus Vivo Book M415DAO-FHD321 Ryzen 3 - Gray,Rp5.190.000,5.0,19 terjual,Surabaya,IT-SHOP-ONLINE,laptop
DELL XPS 17 9710 Core i7-11800H/64GB/2TB SSD/VGA 4GB/TOUCH/WIN10PRO,Rp57.600.000,5.0,19 terjual,Jakarta Pusat,BESTechno88,laptop
Laptop Hp 14s-CF2518TU Core i3-10110U / 4GB 256GB SSD / Backlit Key,Rp4.920.000,5.0,3 terjual,Jakarta Barat,GEMINI-ELEKTRONIK,laptop
"SPEK TINGGGI LAPTOP DELL 7280 I7 7TH NO TOUCHSCREEN RAM 16GB/512GB SSD - 7280 I5 6TH, 8GB/128GB",Rp2.675.000,5.0,1 terjual,Jakarta Barat,DAVE COM,laptop
"Dell Latitude 7490 || intel Core i5-8350U RAM 16GB - SSD 512GB - 7390 i5-8th, 8GB / 256GB",Rp3.300.000,5.0,27 terjual,Jakarta Pusat,Tokeh Laptop,laptop
"Asus Zenbook 14X OLED UM5401RA R7-6800H 16G 512G 14""2.8K Touch W11 OHS",Rp13.807.000,4.9,100+ terjual,Jakarta Pusat,Collins Official,laptop
HP 14S dq5001tu i5-1235u/8GB/512ssd/irisxe/w11+ohs/14.0fhd IPS,Rp7.529.000,4.9,100+ terjual,Jakarta Utara,AGRES - HP Authorized,laptop
"LAPTOP LENOVO V14 G3 CORE I3 1215U 12GB 512GB SSD 14"" INTEL UHD",Rp4.999.000,5.0,250+ terjual,Jakarta Utara,ROGS STORE,laptop
HP 14s-dq5115tu i3-1215U 512GB SSD 4GB Win 11 Home + OHS,Rp6.099.000,5.0,250+ terjual,Jakarta Barat,Sinarmulia Sukses Makmur,laptop
Laptop ASUS Vivobook 14 A416MAO Celeron N4020 RAM 8GB 512GB SSD OHS,Rp4.380.000,5.0,500+ terjual,Jakarta Pusat,Distributor Laptop ID,laptop
"ASUS Vivobook Pro 14 OLED M3400QA Ryzen 7 5800H 16GB 512GB SSD 14""",Rp8.779.000,4.9,250+ terjual,Jakarta Pusat,Onestop Gaming,laptop
HP Envy 15 x360 Touch i5 1240P EVO 16gb 512ssd IRISXE 15.6FHD IPS,Rp9.299.000,4.8,40+ terjual,Jakarta Utara,Top Tech,laptop
Acer Swift Go 14 OLED SFG14 EVO - I5 13500H 16GB 512SSD IrisXe W11 OHS,Rp12.508.000,4.9,250+ terjual,Jakarta Utara,Intel Store ID,laptop
Lenovo Thinkpad x280 Core i7 Gen 8 16GB SSD 512GB Murah Bergaransi,Rp2.295.000,5.0,100+ terjual,Jakarta Pusat,octalcomputer,laptop
Hp 14s DQ4016TU i5 1155G7 16GB 512ssd irisXE 14.0FHD IPS W11 OHS,Rp7.368.000,5.0,100+ terjual,Jakarta Utara,Top Tech,laptop
Chuwi MiniBook 2023 US Version RAM 12GB LPDDR4 Intel J4125 Windows 11,Rp5.699.000,5.0,100+ terjual,Jakarta Barat,Juragantablet,laptop
"ACER SWIFT 3 SF314 EVO i5 1240P 16GB 512GB irisXE W11 14.0""FHD IPS",Rp8.950.000,4.9,30+ terjual,Jakarta Utara,Top Tech,laptop
Lenovo Thinkpad T470S i7 Gen 6 Ram 8GB SSD 256GB 14inch Slim,Rp2.399.000,5.0,90+ terjual,Jakarta Barat,SAMSAN_Tech,laptop
LAPTOP SUPER SLIM TOSHIBA CORE i5 RAM 8GB SSD128GB WIND 10 free gift -,Rp2.009.000,5.0,8 terjual,Jakarta Barat,VIPCELULLAR,laptop
"ACER Aspire 5 Slim A514 56P 57Q8 i5 1335U 8/512GB SSD W11 14"" FHD",Rp8.270.000,5.0,40+ terjual,Jakarta Utara,Acer Authorized Store Jakarta,laptop
"Asus Vivobook 14 A1404ZA i3 1215U 8GB 256ssd W11+OHS 14""FHD",Rp6.300.000,4.9,100+ terjual,Jakarta Utara,AGRES ID,laptop
Laptop Lenovo Yoga X380 Touchscreen I7 GEN 8 Berkualitas Spek Tinggi ,Rp3.900.000,4.9,90+ terjual,Jakarta Barat,MR_elektronik,laptop
"MSI Modern 14 C12MO - I5 1235U 8GB / 16GB 512SSD W11 OHS 14"" FHD BLIT",Rp7.613.000,5.0,27 terjual,Jakarta Utara,Intel Store ID,laptop
"ASUS EXPERTBOOK B3000 SNAPDRAGON 7C GEN 2 8GB 128GB 10.5"" WUXGA W11",Rp6.399.000,4.8,100+ terjual,Jakarta Pusat,Protech Computer,laptop
"MSI Modern 14 C5M Ryzen 7 5825U AMD Radeon™ Graphics 14"" FHD W11",Rp7.721.000,5.0,100+ terjual,Jakarta Pusat,MSI Official Store,laptop
"LAPTOP INFINIX INBOOK X2 i7-1065G7 8G 512G INTEL IRIS PLUS 14"" FHD W11",Rp6.310.000,5.0,250+ terjual,Jakarta Pusat,Collins Official,laptop
LENOVO FLEX 5 2in1 TOUCH i3 1215U 8GB 512SSD IrisXE W11 14.0 WUXGA,Rp7.299.000,4.9,40+ terjual,Jakarta Utara,Top Tech,laptop
"Huawei MateBook D14 Intel Core i5 1155G7 8GB 512GB 14"" W11",Rp6.950.000,5.0,17 terjual,Bandung,Up To Shop,laptop
