Name,Sell,Sold,Rating,Category,ShopName,Location
macbook,14330000,250,5,laptop,wah gadget,jakarta barat
hp,5999000,27,4.9,laptop,real tech - hp authorized,jakarta selatan
macbook,18449000,100,5,laptop,distributor laptop id,jakarta pusat
hp,8699000,80,4.8,laptop,laptop grosir id,jakarta selatan
asus,9799000,40,5,laptop,asus official store,jakarta timur
hp,4229000,70,5,laptop,agres id surabaya,surabaya
hp,6016000,250,4.9,laptop,agres - hp authorized,jakarta utara
macbook,14275000,17,5,laptop,joeragan apple,jakarta pusat
lenovo,1650000,3,5,laptop,laptop valley,jakarta utara
hp,5232000,40,5,laptop,top tech,jakarta utara
lenovo,4500000,30,4.8,laptop,specialist laptop second,jakarta barat
asus,4050000,30,4.8,laptop,gemini-elektronik,jakarta barat
lenovo,4399000,13,5,laptop,premium tech,depok
lenovo,16999000,19,5,laptop,lenovo official,jakarta pusat
macbook,8700000,11,5,laptop,studio apple,jakarta pusat
hp,5749000,28,5,laptop,aura technology,jakarta pusat
lenovo,4400000,80,4.8,laptop,foxcomp,jakarta pusat
hp,6199000,750,4.9,laptop,hp official,jakarta utara
asus,8348000,100,4.9,laptop,intel store id,jakarta utara
asus,11249000,16,5,laptop,notebook gaming id,jakarta pusat
asus,7649000,70,5,laptop,top tech,jakarta utara
asus,5819000,100,5,laptop,intel store id,jakarta utara
lenovo,3799000,25,5,laptop,specialist laptop second,jakarta barat
lenovo,9899000,25,5,laptop,it-mart,jakarta barat
asus,5129000,60,5,laptop,agres id bekasi,jakarta utara
macbook,11699000,250,5,laptop,pandawatiga,jakarta pusat
asus,5145000,30,5,laptop,digital zone,jakarta pusat
hp,9299000,15,5,laptop,kingz notebook,jakarta pusat
asus,8299000,250,5,laptop,collins official,jakarta pusat
lenovo,6490000,5,4.8,laptop,laptop social,jakarta pusat
asus,10899000,50,4.5,laptop,agres id,jakarta utara
asus,17299000,30,5,laptop,asus official store,jakarta timur
hp,25399000,12,5,laptop,sinarmulia sukses makmur,jakarta barat
acer,12337000,15,4.7,laptop,acer authorized store jakarta,jakarta utara
acer,3400000,100,5,laptop,mr_elektronik,jakarta barat
asus,7279000,60,5,laptop,onestop gaming,jakarta pusat
lenovo,4999000,100,5,laptop,laptop murah id,jakarta selatan
asus,2700000,60,4.6,laptop,us_electronic,jakarta barat
acer,4999000,500,4.9,laptop,teknotrend,jakarta pusat
advan,5399000,100,5,laptop,advan official it store,kab. tangerang
acer,5918000,100,5,laptop,collins official,jakarta pusat
lenovo,9299000,70,4.9,laptop,top tech,jakarta utara
lenovo,7299000,40,4.9,laptop,top tech,jakarta utara
macbook,18150000,100,5,laptop,onestop gaming,jakarta pusat
asus,5819000,28,5,laptop,asus official store,jakarta timur
macbook,29999000,100,5,laptop,distributor laptop id,jakarta pusat
hp,6016000,100,4.9,laptop,intel store id,jakarta utara
asus,6599000,30,4.8,laptop,asus official store,dilayani tokopedia
lenovo,3000000,40,5,laptop,juragan idn,jakarta pusat
asus,4159000,8,5,laptop,gamer id surabaya,surabaya
asus,7999000,40,4.8,laptop,rogs store,jakarta utara
acer,9499000,19,4.9,laptop,gateway indonesia comp,jakarta utara
lenovo,3800000,60,4.9,laptop,foxcomp,jakarta pusat
lenovo,14349000,100,4.8,laptop,intel store id,jakarta utara
lenovo,23940000,100,4.8,laptop,lenovo jatim,surabaya
hp,3799000,21,4.8,laptop,debby batavia computer,bekasi
macbook,6200000,40,4.9,laptop,century_computer,jakarta barat
hp,3899000,19,5,laptop,debby batavia computer,bekasi
asus,8410000,23,5,laptop,blessing computer bali,denpasar
asus,22899000,80,4.9,laptop,rogs store,jakarta utara
lenovo,13499000,100,5,laptop,lenovo legion official,jakarta utara
lenovo,12332000,30,5,laptop,amd official store,jakarta utara
acer,10099000,100,5,laptop,teknotrend,jakarta pusat
asus,10899000,5,5,laptop,top tech,jakarta utara
asus,8632000,100,4.9,laptop,amd official store,jakarta utara
asus,4380000,500,5,laptop,distributor laptop id,jakarta pusat
asus,7358000,500,5,laptop,top tech,jakarta utara
asus,4189000,1000,4.9,laptop,protech computer,jakarta pusat
asus,6579000,100,5,laptop,royalltech,jakarta utara
lenovo,4949000,250,4.9,laptop,top tech,jakarta utara
lenovo,5549000,250,5,laptop,sinarmulia sukses makmur,jakarta barat
lenovo,2200000,500,4.9,laptop,ocean laptop,jakarta barat
lenovo,4999000,250,4.9,laptop,thinkpad official store,jakarta utara
lenovo,1760000,750,4.9,laptop,gitech laptop,bandung
hp,4589000,30,5,laptop,real tech - hp authorized,jakarta selatan
hp,5771000,100,5,laptop,top tech,jakarta utara
hp,4229000,100,5,laptop,royalltech,jakarta utara
hp,6099000,250,5,laptop,sinarmulia sukses makmur,jakarta barat
hp,9299000,40,4.8,laptop,top tech,jakarta utara
asus,4050000,40,5,laptop,gemini-elektronik,jakarta barat
acer,14542000,26,5,laptop,collins official,jakarta pusat
lenovo,5050000,22,5,laptop,gemini-elektronik,jakarta barat
asus,6200000,15,5,laptop,blessing computer bali,denpasar
lenovo,7599000,17,5,laptop,top tech,jakarta utara
acer,14542000,26,5,laptop,collins official,jakarta pusat
hp,9789000,100,4.9,laptop,agres - hp authorized,jakarta utara
