product_name,price,rating,sell,location,shop_name,kategori
ONYX BOOX Poke 5 Quad Core E Ink Tablet 6inch Android 11 E Ink Reader,Rp3.295.000,4.9,100+ terjual,Jakarta Barat,YUTmart,tablet
Samsung Galaxy Tab S9 Ultra / S9 Plus / S9 5G 12/512 GB Garansi Resmi,Rp17.893.000,4.9,250+ terjual,Jakarta Pusat,Distributor Ponsel,tablet
"[RESMI] Apple iPad Pro M1 11"" 12,9"" 2021 Wifi Garansi Resmi Gray Silvr",Rp10.016.000,5.0,100+ terjual,Jakarta Barat,Wah Gadget,tablet
Samsung Galaxy Tab A9 Plus,Rp3.886.500,4.8,60+ terjual,Jakarta Pusat,jikalaku,tablet
SP TROCHES STRAWBERRY ISI 12 TABLET,Rp14.532,5.0,3rb+ terjual,Jakarta Selatan,CleverHealth,tablet
papan tulis gambar tablet tab ipad anak magic board digital LCD drawin,Rp11.100,4.7,1rb+ terjual,Jakarta Barat,Naomi Loe Shop,tablet
ADVAN TAB VX LITE 10.4” Octa Core 2.0Ghz TABLET Dual SIM Card 4G LTE,Rp1.899.000,4.9,3rb+ terjual,Kab. Tangerang,Advan Official Store,tablet
BLACKMORES GINKGO RECALL 30 TABLET,Rp142.557,4.9,250+ terjual,Jakarta Selatan,CleverHealth,tablet
ADVAN XTAB  4/64 GB 8 Inci Quadcore T310 Tablet Android 13,Rp1.100.000,5.0,500+ terjual,Kab. Tangerang,Advan Official Store,tablet
NEW ENZYPLEX 1 STRIP 4 TABLET,Rp8.893,5.0,4rb+ terjual,Jakarta Selatan,CleverHealth,tablet
Suplemen Kesehatan - IPI Mineral Zinc Plus Selenium - 45 Tablet,Rp9.600,4.9,750+ terjual,Jakarta Selatan,FAVO Official Store,tablet
Sibiru Penyegar 50gram Toilet Tablet Biru WC Pembersih Penyegar Closet,Rp699,4.8,10rb+ terjual,Tangerang,dfanccie house,tablet
CUSTODIOL 5MG EC 1 BLISTER @10 TABLET,Rp5.810,5.0,2rb+ terjual,Jakarta Selatan,CleverHealth,tablet
ROBOT RSP01 Universal 2 in 1 Capacitive Stylus Pen for Mobile Tablet,Rp50.000,4.9,1rb+ terjual,Kab. Karawang,ROBOT OFFICIAL SHOP,tablet
PANADOL FLU DAN BATUK 10 TABLET,Rp15.687,5.0,1rb+ terjual,Jakarta Selatan,CleverHealth,tablet
DEGIROL LOZENGES 1 STRIP 10 TABLET,Rp13.133,5.0,1rb+ terjual,Jakarta Selatan,CleverHealth,tablet
ADVAN TABLET VX LITE 10.4” Octa Core 2.0Ghz TABLET Dual SIM Card 4G,Rp1.899.000,5.0,100+ terjual,Kab. Tangerang,Advan Official Store,tablet
SureGrow 100 Sure Grow Calcium Kalsium Anak Anjing Hamil Puppy Tablet,Rp298.000,5.0,1rb+ terjual,Tangerang,SunnyPaws Store,tablet
SP TROCHES MELON ISI 12 TABLET,Rp14.532,5.0,1rb+ terjual,Jakarta Selatan,CleverHealth,tablet
DHC SUPPLEMENT COLLAGEN ISI 42 TABLET ,Rp59.900,4.9,100+ terjual,Jakarta Utara,VitaminDiskon Official,tablet
Optimum Nutrition Amino 2222 Tablet 320'S,Rp565.000,4.9,750+ terjual,Jakarta Barat,Natural Farm,tablet
FEMINAX TABLET / OBAT NYERI HAID,Rp3.373,5.0,1rb+ terjual,Jakarta Selatan,CleverHealth,tablet
PROMAG TABLET KUNYAH 1 BLISTER @10TABLET,Rp8.026,5.0,1rb+ terjual,Jakarta Selatan,CleverHealth,tablet
LCD 12inch JUMBO LCD Writing Tablet BESAR/ Papan Tulis Ajaib Mainan Ed,Rp24.500,4.9,500+ terjual,Jakarta Barat,Naomi Loe Shop,tablet
"Apple iPad Gen 10 2022 10.9"" 256GB / 64GB Silver Blue Pink Yellow IBOX",Rp6.449.000,4.9,750+ terjual,Jakarta Pusat,New Rizkyapple,tablet
Apple iPad Mini 6 2021 64GB 64 WiFi Cellular Garansi Resmi 1 Tahun 5,Rp7.353.000,4.9,500+ terjual,Jakarta Pusat,Studio Ponsel,tablet
"iPad Air 5 2022 M1 Chip 256GB IBOX CELL Cellular WIFI Only Apple 256 - WIFI INTER, Blue",Rp10.999.000,5.0,100+ terjual,Jakarta Pusat,New Rizkyapple,tablet
11.6 Inch Tablet 8GB+128GB PC Android Dual 4G GSM Network WiFi 10Cores,Rp790.000,5.0,6 terjual,Jakarta Barat,Storage Global,tablet
"iPad 9 2021 10.2"" 256GB Wifi Cellular Cell 64GB Grey Silver Resmi 8 - Wifi Only, 64GB Space Grey",Rp4.724.000,5.0,4rb+ terjual,Jakarta Pusat,Studio Ponsel,tablet
Samsung Galaxy Tab S9 Ultra S9 Plus 5G 12/512GB 12/256GB Garansi Resmi,Rp16.999.000,5.0,250+ terjual,Jakarta Pusat,Onestop Ponsel,tablet
Samsung Galaxy TAB A9 LTE 4/64GB,Rp2.453.000,5.0,100+ terjual,Tangerang,Myfon Teleshop Official,tablet
Apple IPad Gen 9 32GB-256GB WIFI - Garansi Resmi,Rp4.992.000,5.0,500+ terjual,Jakarta Barat,igoods gadget,tablet
Samsung Tab A7 Lite Ex Sein,Rp1.399.000,4.9,100+ terjual,Jakarta Barat,JJStore.ID,tablet
"iPad Mini 6 2021 8.3"" 256GB 64GB Wifi Cell Gray Pink Purple Starlight",Rp6.354.000,5.0,750+ terjual,Jakarta Barat,Wah Gadget,tablet
Realme Tab Pad Mini Lte 4G (4/64Gb) Garansi Resmi,Rp1.929.000,4.9,1rb+ terjual,Jakarta Selatan,Ini Toko Budi,tablet
Samsung Galaxy Tab S7 FE 5G 6/128GB Garansi Resmi,Rp6.623.500,5.0,250+ terjual,Jakarta Pusat,Pandawatiga,tablet
"ADVAN TAB VX LITE 10,4"" 6/128GB Free Flip Case Garansi Resmi  1 Tahun",Rp1.899.000,4.9,40+ terjual,Surabaya,TOPSELL OFFICIAL,tablet
"Apple iPad 10 2022 256GB 64GB iBox WiFi Only 10.9"" Inch Gen 10",Rp6.505.000,5.0,100+ terjual,Jakarta Pusat,Dewa Ponsel Rakyat,tablet
New iPad 10 2022 64GB | 256GB WiFI Cellular Pink Yellow Blue Silver,Rp6.519.000,4.9,100+ terjual,Jakarta Pusat,tokohapedia,tablet
Samsung Galaxy Tablet Tab S9 Fe Fe+ 5G Wifi 6GB 8GB 12GB 128GB 256GB,Rp6.499.000,5.0,19 terjual,Jakarta Pusat,SUPER_GADGET,tablet
"Apple iPad Air (Gen 5) 10,9 inci 256GB 64GB Garansi Resmi",Rp9.269.000,4.9,100+ terjual,Jakarta Pusat,iSmile Official Store,tablet
"Tablet Kubik Genta 10"" Hitam Tablet Belajar 5000mAH",Rp890.000,4.6,60+ terjual,Jakarta Pusat,Wahana Komputer,tablet
Apple iPad 9 9th Gen 2021 64GB Wifi Cellular Gray Silver,Rp4.482.000,5.0,1rb+ terjual,Jakarta Barat,Wah Gadget,tablet
Samsung Galaxy Tab S9 Ultra S9 Plus S9 5G 512GB 256GB 128GB RESMI SEIN,Rp9.477.000,4.9,50+ terjual,Jakarta Pusat,GRENPEEL STORE,tablet
Samsung Galaxy Tab A7 Lite A 7 Lite LTE T225 3/32GB GARANSI RESMI SEIN,Rp1.649.000,5.0,90+ terjual,Jakarta Utara,Jakarta Ori Store,tablet
HUAWEI MatePad Air Tablet [8+128GB] | 144Hz HUAWEI FullView Display,Rp7.008.000,5.0,90+ terjual,Tangerang,PVBLIC ONE,tablet
Xiaomi Redmi Pad SE 4GB/128GB Resmi RedmiPad Tab Red mi 4 GB 128 GB,Rp2.390.000,5.0,11 terjual,Jakarta Pusat,chocoapple,tablet
Advan TAB VX Lite 10.4” 6/128GB TABLET Dual SIM Card Garansi Resmi,Rp1.830.000,4.9,250+ terjual,Jakarta Pusat,Pandawatiga,tablet
"Apple iPad Pro M2 2022 11"" Inch WiFi Only 128GB Space Grey Silver 128",Rp11.530.000,5.0,750+ terjual,Jakarta Pusat,Studio Ponsel,tablet
(RESMI) Samsung Galaxy Tab S9 Ultra S9 Plus 512GB 256GB 128GB 5G SEIN,Rp9.799.000,4.9,100+ terjual,Jakarta Pusat,Putra Group,tablet
"HUAWEI MatePad SE 10.4"" Kids Edition Tablet | 2K Display| Kids Corner",Rp2.976.000,5.0,50+ terjual,Jakarta Pusat,MnM Phone,tablet
Apple iPad Mini 6 Wifi Garansi Resmi - 64GB 256GB,Rp7.779.000,5.0,70+ terjual,Jakarta Pusat,iSmile Official Store,tablet
iPad Mini 6 2021 64GB 256GB Cellular Purple Starlight Grey Pink,Rp6.989.000,5.0,2rb+ terjual,Jakarta Pusat,Putra Group,tablet
Apple iPad 9 9th Gen 2021 256GB 64GB Wifi Only Garansi Resmi IBOX,Rp4.516.000,5.0,100+ terjual,Jakarta Pusat,Onestop Ponsel,tablet
Samsung Galaxy Tab A8 2019 T295 SEIN,Rp850.000,4.8,250+ terjual,Jakarta Utara,Tokoacoy,tablet
"Apple iPad (Gen 9) 10,2"" Wi-Fi 64GB Garansi Resmi",Rp4.694.500,5.0,40+ terjual,Jakarta Pusat,Pandawatiga,tablet
"Apple iPad 10 2022 10,9 inci 256GB 64GB Garansi Resmi",Rp7.479.000,4.6,60+ terjual,Jakarta Pusat,iSmile Official Store,tablet
Apple iPad Pro 2022 M2 11 inch Wifi Only Garansi Inter,Rp12.071.000,5.0,3 terjual,Jakarta Pusat,Onestop Ponsel,tablet
"HUAWEI MatePad 11.5"" 8+128GB Tablet 120Hz HUAWEI FullView Display",Rp4.896.000,5.0,60+ terjual,Tangerang,PVBLIC ONE,tablet
"Apple iPad Pro 2022 11 inch M2 Chip 256GB Cellular Wifi 256 GB 11""",Rp13.749.000,5.0,30+ terjual,Jakarta Pusat,New Rizkyapple,tablet
"Apple iPad 10th Gen 2022 256GB 64GB WiFi Cellular 10.9"" Inch Gen 10",Rp6.444.000,4.9,100+ terjual,Jakarta Pusat,iStuffOriginal,tablet
"iPad 9 2021 10.2"" 256GB 256 Wifi Cellular Cell Grey Silver 8 IBOX",Rp4.445.000,5.0,100+ terjual,Jakarta Pusat,iStuffOriginal,tablet
"[Best Offer] HUAWEI MatePad 11"" 2023 Tablet [6+128GB] | 120 Hz",Rp6.099.000,4.9,100+ terjual,Jakarta Utara,HUAWEI Official Store,tablet
New iPad 9 2021 64GB | 256GB WiFI Only Silver / Gold / Space Gray,Rp4.608.000,5.0,2rb+ terjual,Jakarta Pusat,tokohapedia,tablet
Apple iPad Pro M2 11 Inci 1TB 512GB 256GB 128GB Garansi Resmi,Rp12.504.000,4.9,50+ terjual,Jakarta Pusat,iSmile Official Store,tablet
" BOC SMARTBERRY B86 STUDY TAB GEN. 2, tablet edukasi, kids tab 7 inch",Rp741.400,5.0,2 terjual,Jakarta Barat,Bag On Click,tablet
Apple iPad Air 5 2022 10.9 inch M1 Chip 256GB 64GB Wifi Garansi Inter,Rp8.214.000,5.0,100+ terjual,Jakarta Pusat,Onestop Ponsel,tablet
"iPad 9 2021 IBOX 10.2"" 64GB Cellular Wifi 64 Grey Silver [ Not 8 10 ] - Wifi, Silver NonPaket",Rp4.625.000,5.0,100+ terjual,Jakarta Pusat,New Rizkyapple,tablet
"Apple iPad Pro M2 11"" Inchi WiFi Cellular 2TB 1TB 512GB 256GB 128GB - PROMO 128GB, Silver",Rp11.475.000,5.0,250+ terjual,Jakarta Pusat,New RumahApple,tablet
Samsung Galaxy Tab S9 FE Wifi 6/128GB - Gray,Rp6.499.000,5.0,100+ terjual,Jakarta Utara,Samsung Official Store,tablet
SAMSUNG GALAXY TAB A7 LITE T225 RAM 3/32GB GRS RESMI SEIN,Rp2.099.000,5.0,2rb+ terjual,Jakarta Barat,Memory Collection,tablet
Samsung Tab A7 Lite Ex Sein,Rp1.399.000,4.9,100+ terjual,Jakarta Barat,JJStore.ID,tablet
Samsung Galaxy Tab A9 Wifi 4/64GB,Rp2.299.000,4.9,100+ terjual,Jakarta Utara,Samsung Official Store,tablet
TABLET WINDOW Microsoft Surface 3 RAM 4GB 64GB 128GB SEKEN ORIGNAL,Rp1.800.000,4.9,250+ terjual,Jakarta Utara,GoldenCityCell,tablet
TABLET Microsoft Surface 3 RAM 4 GB WINDOWS Seken Original Mulus,Rp2.000.000,5.0,30+ terjual,Jakarta Timur,Golden 8 Cell,tablet
SAMSUNG ATIV SMART PC 500T1C TABLET WINDOWS MURAH MERIAH,Rp685.000,5.0,5 terjual,Jakarta Utara,Anikishop,tablet
"Tablet PC Mini 4/64GB Intel X5-Z8350 8"" FHD Windows 10 Pro",Rp2.699.000,4.7,50+ terjual,Jakarta Timur,DewiAgustina,tablet
TABLET WINDOW MICROSOFT SURFACE 3 RAM 4GB 64GB 128GB SEKEN ORIGINAL,Rp2.500.000,5.0,4 terjual,Jakarta Barat,Clopz Tech,tablet
Advan Tab VX LITE 6/128GB,Rp1.831.000,5.0,100+ terjual,Jakarta Pusat,jikalaku,tablet
ADVAN TAB VX LITE 10.4” Octa Core 2.0Ghz TABLET Dual SIM Card 4G LTE,Rp1.899.000,4.9,3rb+ terjual,Kab. Tangerang,Advan Official Store,tablet
Nokia TAB T20 4/64GB Baterai 8200mAh Garansi resmi,Rp1.895.000,5.0,100+ terjual,Jakarta Pusat,Gundala Phone,tablet
ADVAN XTAB  4/64 GB 8 Inci Quadcore T310 Tablet Android 13,Rp1.100.000,5.0,500+ terjual,Kab. Tangerang,Advan Official Store,tablet
OASE OAPED Tablet Android 10 4000mAh 2GB/32GB GPS WIFI Garansi Resmi,Rp3.000.000,5.0,750+ terjual,Jakarta Barat,MUTE SHOPING,tablet
Xiaomi Pad 6 8/256GB Tablet 11 inch RAM 8GB 256GB Tab Android,Rp4.759.000,5.0,60+ terjual,Jakarta Pusat,SUPER_GADGET,tablet
Tablet Android Anak / Edutab Wintouch K717,Rp600.000,5.0,30+ terjual,Jakarta Selatan,Dayrmart,tablet
"Lenovo Xiaoxin Pad 2022 10.6"" 6/128GB Snapdragon 680 Tablet Android 12",Rp2.879.000,5.0,100+ terjual,Jakarta Pusat,DuniaTablet,tablet
Tablet Android Kids / Edutab,Rp874.999,4.9,100+ terjual,Jakarta Utara,ASH Sports,tablet
Advan Tab VX LITE 6/128GB,Rp1.831.000,5.0,100+ terjual,Jakarta Pusat,jikalaku,tablet
Advan TAB VX Lite 10.4” 6/128GB TABLET Dual SIM Card Garansi Resmi,Rp1.830.000,4.9,250+ terjual,Jakarta Pusat,Pandawatiga,tablet
Tablet Advan XTAB 4/64 Ram 4GB Internal 64GB Garansi Resmi ,Rp1.056.000,5.0,40+ terjual,Jakarta Pusat,dk-cell,tablet
